[0.6747886057172005, 0.47860805938899836]
[0.6820448409087756, 0.5003302773069283]
[0.713280163369634, 0.543940407208165]
[0.6866985733748652, 0.48767986880415715]
[0.6796160328113573, 0.5488131639417781]
[0.7374527866211462, 0.5635383512176508]
[0.7515868478308875, 0.5951838250497903]
[0.7630040041687001, 0.6182828093541204]
[0.7571945181671681, 0.6020579874734572]
[0.7474705479691837, 0.6204260545795023]
[0.8272181419169322, 0.7103258994014453]
[0.8159680202709229, 0.7047982023854138]
[0.8324416521748811, 0.7196588709063942]
[0.8275645566363226, 0.7072066723203692]
[0.819394814999972, 0.7145989143060745]
