[0.6090546187816323, 0.47247534404549063]
[0.6434827757565758, 0.5305838156731328]
[0.6577308297616664, 0.5267048839870095]
[0.6234839623783898, 0.530747326163696]
[0.6199002843642942, 0.551507599739915]
[0.6612235325674289, 0.5174922960675375]
[0.6993836565775677, 0.5901631417409392]
[0.6867321804241598, 0.608402715777272]
[0.6870305333454838, 0.6182058094247361]
[0.6725212457042444, 0.5926625785420381]
[0.7366201157234491, 0.5939478866102645]
[0.7671134242093853, 0.6683088505702883]
[0.7519181134301147, 0.6436506549133272]
[0.7552391571364854, 0.6648813476707531]
[0.7487188092427186, 0.650119069726576]
