[0.6478236178574085, 0.4768983086794256]
[0.661214581186468, 0.534141725040658]
[0.709122369720107, 0.5633069265594352]
[0.6790038424990592, 0.5255079832168768]
[0.6501417857488946, 0.5629551418555507]
[0.7236830981259263, 0.5667849719857763]
[0.7374525803003982, 0.6088811797532424]
[0.7373660132958273, 0.6330598542472972]
[0.7330936944643103, 0.6192315279556679]
[0.7227724622513734, 0.6432918907712484]
[0.8127427705073693, 0.7129310381897906]
[0.8235035151668986, 0.7032049767754758]
[0.8120141098431072, 0.7153999847886761]
[0.8132749525196552, 0.7287519990651357]
[0.8123906162459461, 0.7327283233792576]
